priority,family,feature_name,formula,grain,rationale,leakage_rule
P0,raw_demographic,sex,sex,user,Stable user segmentation baseline.,Safe as static input; fit categorical encoding inside each fold.
P0,raw_demographic,city,city,user,Stable user segmentation baseline.,Safe as static input; fit categorical encoding inside each fold.
P0,raw_demographic,constellation,constellation,user,Stable user segmentation baseline.,Safe as static input; fit categorical encoding inside each fold.
P0,demographic_cross,sex_x_city,sex + city,user,Captures heterogeneous demographic segments missed by main effects.,Pool cells below 50 training users; create mapping within each fold.
P0,demographic_cross,sex_x_constellation,sex + constellation,user,Captures heterogeneous demographic segments missed by main effects.,Pool cells below 50 training users; create mapping within each fold.
P0,demographic_cross,city_x_constellation,city + constellation,user,Captures heterogeneous demographic segments missed by main effects.,Pool cells below 50 training users; create mapping within each fold.
P1,demographic_cross,sex_x_city_x_constellation,sex + city + constellation,user,Captures heterogeneous demographic segments missed by main effects.,Pool cells below 50 training users; create mapping within each fold.
P0,rate_lag,mfd_daily_yield_lag1,"lag(mfd_daily_yield, 1)",date,Tests delayed response to published rates.,Only values published by forecast cutoff may be used.
P0,rate_lag,mfd_daily_yield_lag7,"lag(mfd_daily_yield, 7)",date,Tests delayed response to published rates.,Only values published by forecast cutoff may be used.
P0,rate_change,mfd_daily_yield_delta1_lag1,"lag(mfd_daily_yield - lag(mfd_daily_yield,1), 1)",date,Captures rate direction and short-term repricing.,"Difference first, then lag the result before forecast use."
P0,rate_change,mfd_daily_yield_delta7_lag1,"lag(mfd_daily_yield - lag(mfd_daily_yield,7), 1)",date,Captures rate direction and short-term repricing.,"Difference first, then lag the result before forecast use."
P1,rate_rolling,mfd_daily_yield_mean7,"rolling_mean(lag(mfd_daily_yield,1), 7)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_rolling,mfd_daily_yield_mean14,"rolling_mean(lag(mfd_daily_yield,1), 14)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_rolling,mfd_daily_yield_mean28,"rolling_mean(lag(mfd_daily_yield,1), 28)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_volatility,mfd_daily_yield_std7,"rolling_std(lag(mfd_daily_yield,1), 7)",date,Captures stable versus volatile rate regimes.,Shift before rolling and fit any normalization inside the fold.
P1,rate_volatility,mfd_daily_yield_std28,"rolling_std(lag(mfd_daily_yield,1), 28)",date,Captures stable versus volatile rate regimes.,Shift before rolling and fit any normalization inside the fold.
P0,rate_lag,mfd_7daily_yield_lag1,"lag(mfd_7daily_yield, 1)",date,Tests delayed response to published rates.,Only values published by forecast cutoff may be used.
P0,rate_lag,mfd_7daily_yield_lag7,"lag(mfd_7daily_yield, 7)",date,Tests delayed response to published rates.,Only values published by forecast cutoff may be used.
P0,rate_change,mfd_7daily_yield_delta1_lag1,"lag(mfd_7daily_yield - lag(mfd_7daily_yield,1), 1)",date,Captures rate direction and short-term repricing.,"Difference first, then lag the result before forecast use."
P0,rate_change,mfd_7daily_yield_delta7_lag1,"lag(mfd_7daily_yield - lag(mfd_7daily_yield,7), 1)",date,Captures rate direction and short-term repricing.,"Difference first, then lag the result before forecast use."
P1,rate_rolling,mfd_7daily_yield_mean7,"rolling_mean(lag(mfd_7daily_yield,1), 7)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_rolling,mfd_7daily_yield_mean14,"rolling_mean(lag(mfd_7daily_yield,1), 14)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_rolling,mfd_7daily_yield_mean28,"rolling_mean(lag(mfd_7daily_yield,1), 28)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_volatility,mfd_7daily_yield_std7,"rolling_std(lag(mfd_7daily_yield,1), 7)",date,Captures stable versus volatile rate regimes.,Shift before rolling and fit any normalization inside the fold.
P1,rate_volatility,mfd_7daily_yield_std28,"rolling_std(lag(mfd_7daily_yield,1), 28)",date,Captures stable versus volatile rate regimes.,Shift before rolling and fit any normalization inside the fold.
P0,rate_lag,Interest_O_N_lag1,"lag(Interest_O_N, 1)",date,Tests delayed response to published rates.,Only values published by forecast cutoff may be used.
P0,rate_lag,Interest_O_N_lag7,"lag(Interest_O_N, 7)",date,Tests delayed response to published rates.,Only values published by forecast cutoff may be used.
P0,rate_change,Interest_O_N_delta1_lag1,"lag(Interest_O_N - lag(Interest_O_N,1), 1)",date,Captures rate direction and short-term repricing.,"Difference first, then lag the result before forecast use."
P0,rate_change,Interest_O_N_delta7_lag1,"lag(Interest_O_N - lag(Interest_O_N,7), 1)",date,Captures rate direction and short-term repricing.,"Difference first, then lag the result before forecast use."
P1,rate_rolling,Interest_O_N_mean7,"rolling_mean(lag(Interest_O_N,1), 7)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_rolling,Interest_O_N_mean14,"rolling_mean(lag(Interest_O_N,1), 14)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_rolling,Interest_O_N_mean28,"rolling_mean(lag(Interest_O_N,1), 28)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_volatility,Interest_O_N_std7,"rolling_std(lag(Interest_O_N,1), 7)",date,Captures stable versus volatile rate regimes.,Shift before rolling and fit any normalization inside the fold.
P1,rate_volatility,Interest_O_N_std28,"rolling_std(lag(Interest_O_N,1), 28)",date,Captures stable versus volatile rate regimes.,Shift before rolling and fit any normalization inside the fold.
P0,rate_lag,Interest_1_W_lag1,"lag(Interest_1_W, 1)",date,Tests delayed response to published rates.,Only values published by forecast cutoff may be used.
P0,rate_lag,Interest_1_W_lag7,"lag(Interest_1_W, 7)",date,Tests delayed response to published rates.,Only values published by forecast cutoff may be used.
P0,rate_change,Interest_1_W_delta1_lag1,"lag(Interest_1_W - lag(Interest_1_W,1), 1)",date,Captures rate direction and short-term repricing.,"Difference first, then lag the result before forecast use."
P0,rate_change,Interest_1_W_delta7_lag1,"lag(Interest_1_W - lag(Interest_1_W,7), 1)",date,Captures rate direction and short-term repricing.,"Difference first, then lag the result before forecast use."
P1,rate_rolling,Interest_1_W_mean7,"rolling_mean(lag(Interest_1_W,1), 7)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_rolling,Interest_1_W_mean14,"rolling_mean(lag(Interest_1_W,1), 14)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
P1,rate_rolling,Interest_1_W_mean28,"rolling_mean(lag(Interest_1_W,1), 28)",date,Captures rate regime rather than one-day noise.,Shift before rolling; never center the window.
